Page_no,Link_no,Address,Sold_price,List_price,Style,Bedrooms,Bathrooms,Sqft_min,Sqft_max,Latitude,Longitude,Postal_code,Added_at,Sold_at,Last_status,Link_path,Address_path,Link_num,Title,Type,Exterior,Basement,Parking,Kitchens,Lot_frontage,Lot_depth,Parking_included,Parking_spaces,Approx_age,Extras,Is_rental,Description,MLS,Neighbourhood,Link,Garage,Heat,Heating_fuel,AC
12,271,502 Upper Sherman Ave,820000.0,699900.0,house-detached,4,3,1100,1500,-79.847115,43.2331225,L8V3L8,2021-01-28T21:36:18.211Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10475835-502-upper-sherman-ave-hamilton-on-l8v3l8,/hamilton-on-real-estate/502-upper-sherman-ave,271,"502 Upper Sherman Ave, Hamilton (X5097321) | Zoocasa",Duplex,Brick,Finished and Sep Entrance,3,1,45 feet,108 feet,True,3.0,51-99,"Inclusions: 2 Fridge, 2 Stove, 2 Dishwashers, 2 Washers, 2 Dryers",False,"Legal Duplex. Completely Renovated W/ 4 Bedrms In The Upper Unit  & 2 In The Lower. Top Floor Has 2 Bedrms & 3pc, Main Floor Has 2 Bed &L 4 Pc. Lower Unit Has A Sep Entrance, 2 Bedrms & 5pc. Both Units Have Fully Reno'D Kitchens W/ Custom Quartz Countertops, New S/S Appls And In Suite Laundry! Separate Hydro Meters. 2 Driveway Parking Spaces & Add'Ll Rear Parking Space Accessed From The Back Alley. Fully Powered Backyard Shed. Projected Rents Are $4000+",X5097321,Eastmount,http://www.zoocasa.com//hamilton-on-real-estate/10475835-502-upper-sherman-ave-hamilton-on-l8v3l8,None,Forced Air,Gas,Central Air
12,272,14 Redcedar Cres,721000.0,639900.0,house-attached,3,4,1100,1500,-79.6314536,43.2168046,L8E0G3,2021-01-28T17:37:03.791Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10474702-14-redcedar-cres-hamilton-on-l8e0g3,/hamilton-on-real-estate/14-redcedar-cresent,272,"14 Redcedar Cres, Hamilton (X5096922) | Zoocasa",Att/Row/Twnhouse,Brick and Vinyl Siding,Finished,2,1,23.49 feet,81.82 feet,True,2.0,6-15,"Stainless Steel Fridge, Stove, Dishwasher, Washer And Dryer11",False,"Spacious And Bright, Well Designed 3 Bed Room End Unit Townhome In Hot Stoney Creek Beach Neighborhood, Open Concept Living And Kitchen Area And Pot Lights In The Home, No Rear Neighbors, Steps To Visitors Parking , Steps To 50 Point Conservation . Great Commuting, Seconds To Hwy And Amentias. Freehold With Road Condo Fee Of $110.00.",X5096922,Winona Park,http://www.zoocasa.com//hamilton-on-real-estate/10474702-14-redcedar-cres-hamilton-on-l8e0g3,Built-In,Forced Air,Gas,Central Air
12,273,603 Beach Blvd,699000.0,699000.0,house-detached,4,2,1100,1500,-79.78368170000002,43.2800212,L8H6Z1,2021-01-28T16:35:40.081Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10474561-603-beach-blvd-hamilton-on-l8h6z1,/hamilton-on-real-estate/603-beach-blvd,273,"603 Beach Blvd, Hamilton (X5096786) | Zoocasa",Detached,Alum Siding and Metal/Side,Finished and Full,6,1,41.99 feet,135 feet,True,6.0,51-99,"The Beach Community Is Under Extensive Development And Is Highly Desirable For Investors, Families And Commuters. Truly An Ideal Location Situated Along The Waterline And A Close Distance To The Go, Highway And Shops. Let'S Get You Home!",False,"Welcome To The Charming Sought After Beach Community! This Spacious 4+1 Bedroom Home Features 2074 Sqft Of Total Living Space And Is Located On The Beach Side Of The Strip. Situated Within Steps To The Beachfront And The Trail, This Exquisite Property Has Been Updated And Is Ready For Move In.",X5096786,Hamilton Beach B,http://www.zoocasa.com//hamilton-on-real-estate/10474561-603-beach-blvd-hamilton-on-l8h6z1,None,Forced Air,Gas,Central Air
12,274,3 Ascoli Dr,1331000.0,1349900.0,house-detached,4,4,2500,3000,-79.8856605,43.2069516,L9B0H8,2021-01-28T12:47:29.848Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10473408-3-ascoli-dr-hamilton-on-l9b0h8-vow,/hamilton-on-real-estate/3-ascoli-dr,274,"3 Ascoli Dr, Hamilton (X5096156) | Zoocasa",Detached,Brick,Full and Unfinished,6,1,,,True,6.0,0-5,"Inclusions: Fridge, Stove, Microwave, Washer & Dryer, Bbq, Shed In Backyard, Gdo, All Elf'S, All Wndw Cvr'Gs, All Bathrm Mirrors. Exclusions: Small Shed On The Side Of House",False,"3000 Sqft, 4 Bdrm Home On A Corner Lot. 3 Car Garage! Spacious Foyer W/2 Stry Vaulted Ceiling & Abundant Natural Light Thru-Out. Open Concept, Hrdwd Flr, Granite, Eat-In Kitch, 9ft Ceilings On Main Fl, Stainless Steel Appls & Lg Functional Island. Livrm Is Spacious W/Lg Windows & Gas Frplc. Wlk-Out From Kitch To Family Size Yrd W/Lg Aggregate Deck. Upper Lvl Boasts Amazing Master Retreat!",X5096156,Ryckmans,http://www.zoocasa.com//hamilton-on-real-estate/10473408-3-ascoli-dr-hamilton-on-l9b0h8-vow,Attached,Forced Air,Gas,Central Air
12,275,158 East 19th St,586000.0,499900.0,house-detached,2,2,700,1100,-79.8574421,43.2374127,L9A4S3,2021-01-27T16:47:40.376Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10471786-158-east-19th-st-hamilton-on-l9a4s3-vow,/hamilton-on-real-estate/158-e-19th-st,275,"158 East 19th St, Hamilton (X5095518) | Zoocasa",Detached,Vinyl Siding,Part Fin,1,1,29.99 feet,114 feet,True,1.0,100+,"Fridge, Stove, Rangehood, Dishwasher, Washer **Interboard Listing: Hamilton - Burlington R.E. Assoc**",False,"Attention First Time Home Buyers, Young Professionals Or Investors: Vacant Property. Updated Detached Home On The East Mountain In Sought After Inch Park Neighbourhood! Offering 2 Bedrooms, 2 Bathrooms, An Open Concept Living Room & Dining Room, Basement With Loads Of Potential & A Large Private Backyard With Alleyway Access. Great For First Time Buyers - Move In Ready! Fantastic And Vibrant Family Friendly Community With Schools!",X5095518,Inch Park,http://www.zoocasa.com//hamilton-on-real-estate/10471786-158-east-19th-st-hamilton-on-l9a4s3-vow,None,Forced Air,Gas,Central Air
12,276,131 Leland St,608000.0,629000.0,house-detached,4,2,1100,1500,-79.92475759999999,43.2515214,L8S3A3,2021-01-21T13:45:45.730Z,2021-01-30T04:00:00.000Z,Sld,/hamilton-on-real-estate/10459126-131-leland-st-hamilton-on-l8s3a3-vow,/hamilton-on-real-estate/131-leland-st,276,"131 Leland St, Hamilton (X5089937) | Zoocasa",Detached,Wood,Finished,6,2,42.85 feet,100 feet,True,6.0,51-99,"2 Stoves, 2 Fridges, 2 B/I Dw & Microwaves, 2 Stacked Washer/Dryers, Hwt Owned .Please Follow Covid-19 Protocols For Showings.  Maximum 4 People To The Home At 1 Time.  Sales Reps Are Related To Seller See Attached Disclosure",False,"Lovely Detached House On Large Private Lot & Quiet Dead-End Street.  Presently An ""Always Rented"" 4 + 4 Income Property, Rented Till April 30/21 & Only A Short Walk To University.  Very Easy Use/Conversion To Single Family Property.  Shows Well & In Good State Of Repair With Newer Roof/Soffits/Facia/Eaves/High-Eff Furnace/Modern Wiring/Upgraded Vinyl Windows/2 Modern Kitchens & 2 Modern Baths. Parking For 6 Cars.  Lot Backs Onto Greenspace.",X5089937,Ainslie Wood East,http://www.zoocasa.com//hamilton-on-real-estate/10459126-131-leland-st-hamilton-on-l8s3a3-vow,None,Forced Air,Gas,None
12,277,425 Paling Ave,430000.0,399000.0,house-detached,2,1,700,1100,-79.7969396,43.2495055,L8H5K3,2021-01-27T12:35:46.102Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10470491-425-paling-ave-hamilton-on-l8h5k3,/hamilton-on-real-estate/425-paling-ave,277,"425 Paling Ave, Hamilton (X5095030) | Zoocasa",Detached,Brick and Insulbrick,Full and Unfinished,2,1,37.5 feet,95 feet,True,2.0,51-99,"Inclusions, All Appliances, Window Covers And Elfs As Seen On Property In As Is Condition.  Hwt Is Rental.",False,"Build Your Dream Home On A Dead End Street.  Solid Bungalow With Newer Roof, Windows And Furnace.  High And Dry Basement With Bathroom Rough In And Back Door Walk Up.  Huge Lot.  Cool Original Woodwork And Air Returns.  New Laminate Flooring.",X5095030,Homeside,http://www.zoocasa.com//hamilton-on-real-estate/10470491-425-paling-ave-hamilton-on-l8h5k3,None,Forced Air,Oil,None
12,278,4 Mericourt Rd,650000.0,629900.0,house-detached,3,3,1100,1500,-79.9356877,43.2535377,L8S2N7,2021-01-26T20:36:06.018Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10469482-4-mericourt-rd-hamilton-on-l8s2n7,/hamilton-on-real-estate/4-mericourt-rd,278,"4 Mericourt Rd, Hamilton (X5094837) | Zoocasa",Detached,Alum Siding and Brick,Finished and Full,5,1,100 feet,47 feet,True,5.0,51-99,"All Chattels And Fixtures Are In ""As Is, Where Is"" Condition.",False,"Welcome To 4 Mericourt Road! This 1-1/2 Storey Home Is Situated On A Corner Lot In A Quiet Neighbourhood. Currently A Student Rental For A Savvy Investor, Or It Can Be Converted Back To A Single-Family Home With Vacant Possession Available By The End Of May 2021 For A Young Couple Or Family. Garage Roof And Most Windows Were Replaced Within A Few Years.",X5094837,Ainslie Wood West,http://www.zoocasa.com//hamilton-on-real-estate/10469482-4-mericourt-rd-hamilton-on-l8s2n7,Detached,Forced Air,Gas,Central Air
12,279,35 Blue Sky Tr,925000.0,799000.0,house-attached,4,3,1500,2000,-79.88080049999999,43.3448805,L0R2H8,2021-01-26T12:35:45.087Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10467842-35-blue-sky-tr-hamilton-on-l0r2h8,/hamilton-on-real-estate/35-blue-sky-trail,279,"35 Blue Sky Tr, Hamilton (X5094069) | Zoocasa",Link,Brick,Finished and Full,3,1,24.65 feet,85 feet,True,3.0,6-15,"Inclusions: Fridge, Stove, Dishwasher, B/I Microwave, Washer, Dryer, Window Coverings, Elfs, Tv Mounts. Exclusions: Storage Cubbies In Basement And Attached Dressers In Childrens Rooms.",False,"Welcoming 4 Bedroom Family Home, Backing Onto Pond In Coveted East Waterdown. 1800 Sqft. Freehold ""Link"" Home - Feels Like Detached (Attached At Garage).Updated & Well Maintained By Long Time Owners Including Basement (2018), Roof (2020), & Freshly Painted (2021). Located On Quiet Street In An Excellent Community. Close To Schools, Parks, Amenities & Easy Access To Downtown Waterdown, Burlington, Qew & Go.",X5094069,Waterdown North,http://www.zoocasa.com//hamilton-on-real-estate/10467842-35-blue-sky-tr-hamilton-on-l0r2h8,Attached,Forced Air,Gas,Central Air
12,280,101 Fingland Cres,950000.0,948800.0,house-detached,3,3,1500,2000,-79.91281219999999,43.33689649999999,L8B0S7,2021-01-22T18:36:04.763Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10462904-101-fingland-cres-hamilton-on-l8b0s7,/hamilton-on-real-estate/101-fingland-cres,280,"101 Fingland Cres, Hamilton (X5091693) | Zoocasa",Detached,Brick,Full and Unfinished,2,1,34.85 feet,88.75 feet,True,2.0,0-5,"Inclusions: Fridge, Stove, Dishwasher, Microwave, Washer & Dryer, Agdo X 1 Remote, All Window Coverings, All Electric Light Fixtures  Exclusions: None Rental Items: Hot Water Tank (4 Yrs Old), Entercare ($56/Mth)",False,"3-Bed, 2+1 Bath Offers The Best Of Waterdown! The 4 Yr Old Home Features A Convenient Layout With A Front-Facing Dining Room, An Eat-In Kitchen With Stainless Steel Appliances. Upstairs, The Oversized Master Suite Features A Large Walk-In Closet With Additional Bedrooms Are Generously Sized. The Lower Level Is Unspoiled And Awaits Your Personal Touch, With Bathroom Rough-In, Insulation, And High Ceilings. Located Just Minutes From Downtown Waterdown!",X5091693,Waterdown,http://www.zoocasa.com//hamilton-on-real-estate/10462904-101-fingland-cres-hamilton-on-l8b0s7,Attached,Forced Air,Gas,Central Air
12,281,2373 King St E,348000.0,259900.0,condo-highrise,1,1,500,599,-79.7933813,43.2289248,L8K1X9,2021-01-22T18:38:22.125Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10462873-18-2373-king-st-e-hamilton-on-l8k1x9,/hamilton-on-real-estate/18-2373-king-st-e,281,"18 - 2373 King St E, Hamilton (X5091668) | Zoocasa",Condo Apt,Brick,None,1,1,,,True,1.0,,"Inclusions: All Window Coverings, All Elf'S, Ge S/S Fridge, Stove And Microwave. Exclusions: Shoe Closet In Foyer And Show Caddy.",False,"Welcome To Red Hill Valley Condos!  Situated Near The Red Hill Valley Expressway, Shopping And On A Bus Route, This Building Overlooks The Red Hill Bowl Park And Is Clean And Well Maintained.  This One Bed Unit (582 Sq Ft) Feat An Open Concept Layout With Engineered Hardwood Flooring Throughout, White Kitchen W/ Granite Countertops And Island, 4 Piece Bath W/Whirlpool Tub & Neutral Decor Throughout.",X5091668,Glenview East,http://www.zoocasa.com//hamilton-on-real-estate/10462873-18-2373-king-st-e-hamilton-on-l8k1x9,None,Baseboard,Gas,Wall Unit
12,282,22 Keith St,420000.0,329990.0,house-detached,3,1,1100,1500,-79.8479603,43.2646404,L8L3S1,2021-01-22T16:47:14.815Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10462754-22-keith-st-hamilton-on-l8l3s1-vow,/hamilton-on-real-estate/22-keith-st,282,"22 Keith St, Hamilton (X5091524) | Zoocasa",Detached,Stucco/Plaster and Wood,Unfinished and Full,1,1,20.1 feet,83 feet,True,1.0,100+,Being Sold As Is Where Is Buyers And Buyer Agent Do Not Make Any Representations.,False,"Attention Builders/Home Renovators! This Is An Amazing Opportunity To Fix And Flip Or Fix, Rent, Refinance & Repeat! Located Close To Many Schools, Restaurants & Shops! Minutes Away From Hamilton General Hospital. Book Your Private Showing Today!",X5091524,Industrial Sector A and Keith,http://www.zoocasa.com//hamilton-on-real-estate/10462754-22-keith-st-hamilton-on-l8l3s1-vow,None,Forced Air,Gas,None
12,283,20 Macdougall Dr,1450000.0,1495000.0,house-detached,4,4,2500,3000,-79.9842443,43.26112029999999,L9H6X8,2021-01-20T20:37:13.347Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10457981-20-macdougall-dr-hamilton-on-l9h6x8,/hamilton-on-real-estate/20-macdougall-dr,283,"20 Macdougall Dr, Hamilton (X5089787) | Zoocasa",Detached,Brick,Fin W/O and Full,6,1,59.06 feet,124.42 feet,True,6.0,16-30,"Inclusions: Ss Fridge, Stove, Otr Microwave, Elfs, Window Coverings, Cvac + Attachments, Gdo + Remotes (X2), Electric Fireplace, Tv Wall Mount In Family Room; Exclusions: Washer, Dryer, Wall Mounted Tv In Family Room",False,"2 Storey, 2900+ Sf 5 Bedroom Home, Situated On A Private 124' Ravine Lot On A Cul De Sac, Dramatic Cathedral Ceilings In Liv/Din Rms, Reno'D White & Grey Kitchen W/ Quartz Counters, Ss Appliances, Island, Hardwood Floors, Mbed With Incredible Views, Fully Finished Walk-Out Bsmt, Backyard Oasis With Inground Heated Pool, Hot Tub, Beautiful Irrigated Gardens, Interlock Stone Patio, Cabana W/ Granite, Spectacular Views Of Escarpment And Dundas Valley Gcc. Rsa",X5089787,Glenwood Heights,http://www.zoocasa.com//hamilton-on-real-estate/10457981-20-macdougall-dr-hamilton-on-l9h6x8,Attached,Forced Air,Gas,Central Air
12,284,584 Aberdeen Ave S,595000.0,599990.0,house-detached,3,1,1100,1500,-79.8986073,43.25264130000001,L8P2T1,2021-01-13T21:48:39.164Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/10444424-584-aberdeen-ave-s-hamilton-on-l8p2t1-vow,/hamilton-on-real-estate/584-aberdeen-ave,284,"584 Aberdeen Ave S, Hamilton (X5083768) | Zoocasa",Detached,Brick and Other,Unfinished and Full,0,1,29.99 feet,90 feet,True,0.0,51-99,"Fridge, Stove, Dishwasher Included. Water Tank Is A Rental. Furnace And A/C Will Be Paid Out By Seller At Closing Exclude: All White Curtains",False,"Charming 3 Bedroom Home In The Hamilton West Neighbourhood Of Kirkendall. Enjoy Views Of Chedoke Golf Course, Niagara Escarpment, And Evening Sunsets From Your Front Porch Or Living Room Window. Kitchen Connects To 3 Season Breakfast Nook, & Private Backyard. Gleaming Hardwood Floors On Main & Upstairs. Second Floor Features 3 Bedrooms, With Loads Of Closet Space & Renovated 4 Piece Bath. Side Door Entrance To Basement For Potential Gym, Nanny Suite.",X5083768,Kirkendall North,http://www.zoocasa.com//hamilton-on-real-estate/10444424-584-aberdeen-ave-s-hamilton-on-l8p2t1-vow,None,Forced Air,Gas,Central Air
12,285,86 Birge St,705000.0,708888.0,house-detached,5,3,3500,5000,-79.8515824,43.2630164,L8L3L4,2020-08-29T19:36:29.047Z,2021-01-29T04:00:00.000Z,Sld,/hamilton-on-real-estate/7214943-86-birge-st-hamilton-on-l8l3l4,/hamilton-on-real-estate/86-birge-st,285,"86 Birge St, Hamilton (X4890962) | Zoocasa",Detached,Brick,Unfinished,0,3,34.5 feet,60.25 feet,True,0.0,100+,"Elf'S,  Ceiling Fans, 2 Fridges, 2 Stoves, 2 Dishwashers,  2 Washer, 2 Dryers   Hwt Tank  (Rental)",False,"Main Floor 2 Bdrm, 1650 Sq. Ft. Pays $1635/Month, 2nd Floor Apt  1a, 2 Bdrm 1,000 Sq. Ft.  Pays 1,625 Month, Apt. 1b   1 Bdrm. 1,000n Sq. Ft. Pays 1,375 Month Total Rent 4,635  Expenses Property Tax $275,Insurance $215, Heat $90, Hydro + Water $225, Water Heater Rental $45 For A Total Of $850 Month For Expenses",X4890962,Landsdale,http://www.zoocasa.com//hamilton-on-real-estate/7214943-86-birge-st-hamilton-on-l8l3l4,None,Forced Air,Gas,Central Air
12,286,49 Blue Sky Tr,831000.0,749900.0,house-attached,3,3,1100,1500,-79.88141739999999,43.3447742,L8B0X6,2021-01-27T17:36:17.415Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10471853-49-blue-sky-tr-hamilton-on-l8b0x6,/hamilton-on-real-estate/49-blue-sky-trail,286,"49 Blue Sky Tr, Hamilton (X5095744) | Zoocasa",Att/Row/Twnhouse,Brick and Vinyl Siding,Full and Unfinished,3,1,21.78 feet,60.69 feet,True,3.0,6-15,"Inclusions: Stainless Steel Fridge, Stove, Dishwasher, Washer & Dryer, All Elf'S, All Window Coverings (Except Curtains In 3rd Bedroom)  Exclusions: Curtains In 3rd Bedroom",False,"Rare End Unit Freehold Townhome With 3 Bed 3 Bath & All The Must Haves! Located On A Quiet Street Siding Onto Greenspace. Offers A Quaint Front Porch, 3 Car Parking, Private Backyard & O/C Floorplan. Main Flr Has Foyer, Powder Room & Kitchen W/ Ss Appliances, Breakfast Bar & Dining Rm W/ Direct Access To Backyard & Open To Great Rm. 2nd Lvl Has Master With 4pc Ensuite & W/I Closet & 2 Additional Beds & Main 4pc Bath. Unfinished Basement W/ Laundry. Wont Last!",X5095744,Waterdown North,http://www.zoocasa.com//hamilton-on-real-estate/10471853-49-blue-sky-tr-hamilton-on-l8b0x6,Attached,Forced Air,Gas,None
12,287,211 Westbank Tr,595000.0,549999.0,house-attached,2,2,1100,1500,-79.78913899999999,43.1997828,L8H0J4,2021-01-27T15:34:35.977Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10471269-211-westbank-tr-hamilton-on-l8h0j4,/hamilton-on-real-estate/211-westbank-trail,287,"211 Westbank Tr, Hamilton (X5095439) | Zoocasa",Att/Row/Twnhouse,Brick and Stone,None,2,1,21 feet,41.18 feet,True,2.0,6-15,",Quartz Counters, Stainless Steel Appliances And Breakfast Bar.  Separate Dining Area. Master Bedroom  With Walk-In Closet.  Bedroom Level Laundry.  Move In Ready And Flexible Possession.  Book Your Appointment To View Today!",False,"Fantastic Starter Home In The Desirable Heritage Green Neighbouhood, Stoney Creek Mountain.  Located Close To The Red Hill, The Linc, Shops, Restaurants, Movie Theatre  And Several Golf Courses! This Home Offers All The Appeal Of An Urban Area With Protected Conservation Areas Just Steps Away,  Hand Scraped Hardwood And Fresh Neutral Throughout.  Loads Of Natural Light!  Ground Floor Is Perfect For A Home Office Or Family Room.  Kitchen With Espresso Cabinets",X5095439,Vincent,http://www.zoocasa.com//hamilton-on-real-estate/10471269-211-westbank-tr-hamilton-on-l8h0j4,Attached,Forced Air,Gas,Central Air
12,288,135 James St S,355000.0,349900.0,condo-highrise,2,2,1000,1199,-79.8703712,43.2524653,L8P2Z6,2021-01-25T21:50:30.588Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10467669-408-135-james-st-s-hamilton-on-l8p2z6-vow,/hamilton-on-real-estate/408-135-james-st-s,288,"408 - 135 James St S, Hamilton (X5093820) | Zoocasa",Condo Apt,Brick,None,0,1,,,True,0.0,51-99,"Building Offers 24 Hr Concierge, Exercise Room, Roof Top Terrace, Resident Parkette In The Back And Is Just Steps To The Go Station!! Walk Score Of 95/100, Walker'S Paradise From Walkscore.Com",False,"Fantastic Opportunity To Live In The Vibrant South End Of Downtown Hamilton. Great 2 Bedroom Condo At The Chateau Royale With Amazing Views. New High End Laminate Flooring Through-Out (Jan 2021). Freshly Painted. Primary Bedroom With Walk-In Closet And Ensuite Bathroom. Granite Counters In Kitchen. 5 Appliances Incl. Brand New Fridge, Stove And Dishwasher. Heat And Water Included In Condo Fee. In-Suite Laundry.",X5093820,Corktown,http://www.zoocasa.com//hamilton-on-real-estate/10467669-408-135-james-st-s-hamilton-on-l8p2z6-vow,None,Forced Air,Gas,Central Air
13,289,64 Thoroughbred Blvd,976000.0,899000.0,house-detached,3,4,1500,2000,-79.95172749999999,43.220118,L9K1M3,2021-01-24T17:35:34.309Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10465620-64-thoroughbred-blvd-hamilton-on-l9k1m3,/hamilton-on-real-estate/64-thoroughbred-blvd,289,"64 Thoroughbred Blvd, Hamilton (X5092813) | Zoocasa",Detached,Stucco/Plaster,Finished and Full,3,1,34.67 feet,113.3 feet,True,3.0,16-30,"Fridge, Stove, Dishwasher,Washer/Dryer,All Elfs And Window Coverings. Existing Appliances In The Basement Kitchen. Excluded:Water Filter System",False,"Beautiful 2 Storey Stucco Stamped Concrete In Desirable Ancaster Meadowlands. Hardwood Floors, Custom Kitchen W Island, Panel Door Fridge & Granite Countertops.  Updated Baths, Fin Basement W 2nd Kitchen & 3pc Bath. Enjoy A Low Maintenance Yard Offering Large Concrete Back Patio.",X5092813,Harmony Hall II,http://www.zoocasa.com//hamilton-on-real-estate/10465620-64-thoroughbred-blvd-hamilton-on-l9k1m3,Built-In,Forced Air,Gas,Central Air
13,290,143 Lottridge St,450500.0,349000.0,house-detached,3,2,700,1100,-79.8316681,43.2546675,L8L6V5,2021-01-22T19:48:01.782Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10463025-143-lottridge-st-hamilton-on-l8l6v5-vow,/hamilton-on-real-estate/143-lottridge-st,290,"143 Lottridge St, Hamilton (X5091871) | Zoocasa",Detached,Brick,Unfinished and Full,0,1,19.83 feet,75 feet,True,0.0,100+,"Incl: Gas Stve, Frdge, Washer, Dryr, (All In As Is Condition), Greenhouse In Bckyrd, Wdw Covgs, Elfs. Rental: Hot Water Heater.",False,"Stunning Starter Home! 2 And A Half Storey Home, Freshly Painted From Top To Bottom! Main Flr Living & Dining Room & Powder Room Plus Kitchen W/Sliding Door To Rear Deck & Private Yard. 2nd Floor Has An Updated Main Bath & 2 Bedrooms & 3rd Bedroom On The 3rd Loft Level! 100 Amp Panel, Electrical Rewired, Plumbing Is Redone, Newer Shingles, Newer Gas Furnace, Beautiful Neutral Colours. Rsa",X5091871,Stipley,http://www.zoocasa.com//hamilton-on-real-estate/10463025-143-lottridge-st-hamilton-on-l8l6v5-vow,None,Forced Air,Gas,None
13,291,22 Amblecote Pl,861000.0,749777.0,house-detached,3,3,,,-79.8571796,43.20527389999999,L8W3E9,2021-01-22T12:35:07.693Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10461435-22-amblecote-pl-hamilton-on-l8w3e9,/hamilton-on-real-estate/22-amblecote-pl,291,"22 Amblecote Pl, Hamilton (X5091065) | Zoocasa",Detached,Brick and Stone,Finished and Full,5,2,37.86 feet,111.61 feet,True,5.0,,"Incl: See Attached ""Sch C"" Excl: All Televisions Rental: Hot Water Heater",False,"Beautiful Family Home With Many Updates Throughout. In-Law Set Up With Separate Entrance To The Basement And 2 Separate Laundry Units. Court Location W/ On Ground Pool & Perfect Yard For Entertaining. Main Floor And Upstairs Updated 2020, Basement Renovation 4 Years Old. New Washer/Dryer Upstairs. Roof Approx. 6 Years Old. Furnace/Ac Approx. 10 Years Old. Pool Has Heater That Is About 2 Years Old, Was In Good Working Order When It Was Closed Last Summer.",X5091065,Randall,http://www.zoocasa.com//hamilton-on-real-estate/10461435-22-amblecote-pl-hamilton-on-l8w3e9,Attached,Forced Air,Gas,Central Air
13,292,42 Garside Ave N,585000.0,449900.0,house-detached,2,2,700,1100,-79.807283,43.2413417,L8H4W2,2021-01-21T17:34:55.356Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10460241-42-garside-ave-n-hamilton-on-l8h4w2,/hamilton-on-real-estate/42-garside-ave-n,292,"42 Garside Ave N, Hamilton (X5090510) | Zoocasa",Detached,Alum Siding,Finished,4,1,30 feet,100 feet,True,4.0,100+,"Bonus Features Include A New Roof, New Windows, New Awning, New Asphalt Driveway, New Front And Back Door, Basement Is Spray Foamed, Wired For Adt Security, New Pex A Type & Distribution Plumbing, New Stack And New Home Run System.",False,"Welcome To 42 Garside Avenue North. This Charming Updated Bungalow Has 2+1 Bedrooms, 2 Bathrooms With 834 Sqft Of Comfortable Living Space With Stunning Finishes! This Turnkey Home Is Perfect For First Time Home Buyers, A Growing Family, Investors Or Retirees! Enjoy Quality Features Throughout Including A Cozy Front Porch Perfect For Relaxing With Your Morning Coffee, Large Windows Providing Natural Lighting, Pot Lights & A Bonus Of Parking For 4 Cars!",X5090510,Homeside,http://www.zoocasa.com//hamilton-on-real-estate/10460241-42-garside-ave-n-hamilton-on-l8h4w2,None,Forced Air,Gas,Central Air
13,293,3 Spartan Ave,655000.0,579900.0,house-semidetached,3,2,,,-79.7178775,43.2172265,L8E3X4,2021-01-21T17:34:48.022Z,2021-01-28T04:00:00.000Z,Sld,/hamilton-on-real-estate/10460215-3-spartan-ave-hamilton-on-l8e3x4,/hamilton-on-real-estate/3-spartan-ave,293,"3 Spartan Ave, Hamilton (X5090490) | Zoocasa",Semi-Detached,Alum Siding and Vinyl Siding,Finished and Full,3,1,29.99 feet,114.2 feet,True,3.0,,"Inclusions: F/S, W/D, Microwave (As Is), Elf'S, Window Blinds, Shed. Exclusions: All Curtains. Rental Items: Hot Water Tank.",False,"Gorgeous Updated 3+1 Bedroom W/ Separate Side Entrance. Features Updated Kitchen, Baths, Windows, Flooring, Roof 2020, Driveway 2018, Light Fixtures, Custom Blinds. Don'T Miss Out! Rsa.",X5090490,Fruitland,http://www.zoocasa.com//hamilton-on-real-estate/10460215-3-spartan-ave-hamilton-on-l8e3x4,None,Forced Air,Gas,Central Air
